Date : 2025-02-01 21:15:31
Directory : c:\Users\admin\Desktop\Next-js\agenda
Total : 135 files,  10630 codes, 764 comments, 2094 blanks, all 13488 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        102 |      4,357 |        607 |        656 |      5,620 |
| YAML               |          1 |      3,507 |          0 |      1,012 |      4,519 |
| TypeScript         |         22 |      2,638 |        155 |        402 |      3,195 |
| JSON               |          1 |         52 |          0 |          1 |         53 |
| JSON with Comments |          2 |         31 |          0 |          2 |         33 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| CSS                |          1 |         11 |          0 |          3 |         14 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
| XML                |          3 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        135 |     10,630 |        764 |      2,094 |     13,488 |
| . (Files)                                                                                          |          9 |      3,697 |          6 |      1,044 |      4,747 |
| app                                                                                                |        124 |      6,931 |        758 |      1,050 |      8,739 |
| app (Files)                                                                                        |          3 |         44 |          0 |          8 |         52 |
| app\api                                                                                            |         17 |        834 |        120 |        166 |      1,120 |
| app\api\events                                                                                     |          2 |        137 |         31 |         30 |        198 |
| app\api\events (Files)                                                                             |          1 |         49 |         27 |         14 |         90 |
| app\api\events\[id]                                                                                |          1 |         88 |          4 |         16 |        108 |
| app\api\files                                                                                      |          1 |        143 |         64 |         28 |        235 |
| app\api\main-data                                                                                  |          1 |         50 |          1 |         10 |         61 |
| app\api\main-posts                                                                                 |          2 |         97 |          4 |         21 |        122 |
| app\api\main-posts (Files)                                                                         |          1 |         30 |          0 |          4 |         34 |
| app\api\main-posts\[id]                                                                            |          1 |         67 |          4 |         17 |         88 |
| app\api\messages                                                                                   |          3 |        165 |         12 |         36 |        213 |
| app\api\messages (Files)                                                                           |          1 |         51 |          4 |         11 |         66 |
| app\api\messages\[id]                                                                              |          1 |         76 |          4 |         16 |         96 |
| app\api\messages\unseen                                                                            |          1 |         38 |          4 |          9 |         51 |
| app\api\primitive-subjects                                                                         |          1 |         14 |          0 |          2 |         16 |
| app\api\ranking                                                                                    |          1 |         14 |          0 |          1 |         15 |
| app\api\revalidate-calendar                                                                        |          1 |         10 |          0 |          1 |         11 |
| app\api\subject-info                                                                               |          1 |         21 |          0 |          6 |         27 |
| app\api\subject-info\[id]                                                                          |          1 |         21 |          0 |          6 |         27 |
| app\api\subjects                                                                                   |          2 |         97 |          4 |         16 |        117 |
| app\api\subjects (Files)                                                                           |          1 |         31 |          0 |          3 |         34 |
| app\api\subjects\[id]                                                                              |          1 |         66 |          4 |         13 |         83 |
| app\api\user                                                                                       |          1 |         72 |          4 |         13 |         89 |
| app\api\users                                                                                      |          1 |         14 |          0 |          2 |         16 |
| app\gemif                                                                                          |         35 |      1,257 |          0 |        179 |      1,436 |
| app\gemif (Files)                                                                                  |          1 |         11 |          0 |          1 |         12 |
| app\gemif\archive                                                                                  |          1 |         46 |          0 |          4 |         50 |
| app\gemif\calendar                                                                                 |          9 |         89 |          0 |         23 |        112 |
| app\gemif\calendar (Files)                                                                         |          2 |         25 |          0 |          7 |         32 |
| app\gemif\calendar\@modal                                                                          |          4 |         34 |          0 |          9 |         43 |
| app\gemif\calendar\@modal (Files)                                                                  |          1 |          4 |          0 |          2 |          6 |
| app\gemif\calendar\@modal\(.)add-event                                                             |          1 |         10 |          0 |          2 |         12 |
| app\gemif\calendar\@modal\(.)edit-event                                                            |          1 |          9 |          0 |          3 |         12 |
| app\gemif\calendar\@modal\(.)edit-event\[id]                                                       |          1 |          9 |          0 |          3 |         12 |
| app\gemif\calendar\@modal\(.)view-event                                                            |          1 |         11 |          0 |          2 |         13 |
| app\gemif\calendar\@modal\(.)view-event\[id]                                                       |          1 |         11 |          0 |          2 |         13 |
| app\gemif\calendar\add-event                                                                       |          1 |         10 |          0 |          2 |         12 |
| app\gemif\calendar\edit-event                                                                      |          1 |          9 |          0 |          3 |         12 |
| app\gemif\calendar\edit-event\[id]                                                                 |          1 |          9 |          0 |          3 |         12 |
| app\gemif\calendar\view-event                                                                      |          1 |         11 |          0 |          2 |         13 |
| app\gemif\calendar\view-event\[id]                                                                 |          1 |         11 |          0 |          2 |         13 |
| app\gemif\main                                                                                     |          9 |         90 |          0 |         25 |        115 |
| app\gemif\main (Files)                                                                             |          2 |         25 |          0 |         11 |         36 |
| app\gemif\main\@modal                                                                              |          4 |         35 |          0 |          8 |         43 |
| app\gemif\main\@modal (Files)                                                                      |          1 |          5 |          0 |          2 |          7 |
| app\gemif\main\@modal\(.)add-main-post                                                             |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)add-main-post\[type]                                                      |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)edit-main-post                                                            |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)edit-main-post\[id]                                                       |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)edit-main-post\[id]\[type]                                                |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)view-main-post                                                            |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)view-main-post\[id]                                                       |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\@modal\(.)view-main-post\[id]\[type]                                                |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\add-main-post                                                                       |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\add-main-post\[type]                                                                |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\edit-main-post                                                                      |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\edit-main-post\[id]                                                                 |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\edit-main-post\[id]\[type]                                                          |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\view-main-post                                                                      |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\view-main-post\[id]                                                                 |          1 |         10 |          0 |          2 |         12 |
| app\gemif\main\view-main-post\[id]\[type]                                                          |          1 |         10 |          0 |          2 |         12 |
