Date : 2025-07-25 17:14:21
Directory : c:\Users\admin\Desktop\Next-js\agenda
Total : 77 files,  3839 codes, 47 comments, 517 blanks, all 4403 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         41 |      1,947 |         -1 |        311 |      2,257 |
| TypeScript JSX |         33 |      1,702 |         46 |        154 |      1,902 |
| YAML           |          1 |        165 |          0 |         50 |        215 |
| PostCSS        |          1 |         19 |          2 |          2 |         23 |
| JSON           |          1 |          6 |          0 |          0 |          6 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         77 |      3,839 |         47 |        517 |      4,403 |
| . (Files)                                                                              |          3 |        212 |          0 |         61 |        273 |
| app                                                                                    |         74 |      3,627 |         47 |        456 |      4,130 |
| app (Files)                                                                            |          2 |         19 |          2 |          3 |         24 |
| app\api                                                                                |         24 |        640 |          1 |        112 |        753 |
| app\api\auth                                                                           |          1 |         77 |          0 |         13 |         90 |
| app\api\events                                                                         |          1 |         10 |          0 |          0 |         10 |
| app\api\events\[id]                                                                    |          1 |         10 |          0 |          0 |         10 |
| app\api\history                                                                        |          2 |         16 |          0 |          0 |         16 |
| app\api\history\[section]                                                              |          1 |          3 |          0 |         -3 |          0 |
| app\api\main-data                                                                      |          1 |         24 |         -3 |          2 |         23 |
| app\api\main-posts                                                                     |          2 |         14 |          0 |          1 |         15 |
| app\api\main-posts (Files)                                                             |          1 |          1 |          0 |         -1 |          0 |
| app\api\main-posts\[id]                                                                |          1 |         13 |          0 |          2 |         15 |
| app\api\primitive-subjects                                                             |          1 |         83 |          0 |         13 |         96 |
| app\api\primitive-subjects\[id]                                                        |          1 |         83 |          0 |         13 |         96 |
